clinic_name,repeat_count,priority_tier,notes
"치과",48,A,
"분당판교역, 밸런스치과병원",16,A,
"강남역, 원치과의원",13,A,
"미니쉬치과병원",10,A,
"123치과교정과치과의원",10,A,
"수지, 보스톤서울치과의원",10,A,
"서울매스티지치과의원",9,A,
"연세굿데이치과의원",9,A,
"임플란트, 스탠다드치과의원",9,A,
"임플란트, 연세굿데이치과의원",8,A,
"신논현역, 루센트치과의원",7,A,
"잠실새내역, 더바름치과병원",7,A,
"임플란트,연세힐치과의원",7,A,
"이석형 치과의원",6,A,
"투데이치과의원",6,A,
"연세대 치대 의료진✨고르다치과",6,A,
"오늘하루치과의원",6,A,
"더공감치과의원",6,A,
"연세화이트산타치과의원",6,A,
"야탑든든한치과의원",6,A,
"밸런스치과병원",6,A,
"투명교정은 강남샘치과의원",5,A,
"목동, 더365치과의원",5,A,
"강남새로치과의원",5,A,
"강남새로치과의원치과",5,A,
"당신이니까, 플란치과",5,A,
"임플란트, 젊어지는치과의원",5,A,
"삼성연세고운미소치과의원",5,A,
"양재 닥터홍바른치과의원",5,A,
"서울오브치과병원",5,A,
"탑플러스치과의원",5,A,
"연세위드치과의원",5,A,
"바른이치 치과의원",5,A,
"서울더좋은치과의원",5,A,
"임플란트, 하루플란트치과의원",4,A,
"서울클리어치과교정과치과의원",4,A,
"임플란트, 에스플란트치과병원",4,A,
"학동역, 세라믹치과의원",4,A,
"역삼역, 투데이치과의원",4,A,
"잠실역, 서울삼성치과의원",4,A,
"더바름 치과병원",4,A,
"더바름 치과병원치과",4,A,
"잠실치과 서울0.1치과의원",4,A,
"라인드치과교정과의원",4,A,
"임플란트, 인플란트치과의원",4,A,
"미금역1번출구, 뉴욕치과의원",4,A,
"마음드림치과의원",4,A,
"연세고운미소치과의원",4,A,
"서울리인치과교정과의원",4,A,
"광교365리움치과병원",4,A,